group1,group2,weight
lgbt united,stop a.l.,78
lgbt united,angry eagle,4
lgbt united,watch the police,10
lgbt united,musliminst,6
lgbt united,southern.rebel.pride,6
lgbt united,blacktivist,148
lgbt united,bm,118
lgbt united,heart of texas,34
lgbt united,south united,4
lgbt united,pan-african roots move,70
lgbt united,williams&kalvin,132
lgbt united,gov spending,10
lgbt united,mericanfury,18
lgbt united,army of jesus,26
lgbt united,born black,24
lgbt united,muslim voice,10
lgbt united,black guns matter,22
lgbt united,united muslims of america,52
lgbt united,instagnan,22
lgbt united,patriot's heart,2
lgbt united,american.veterans,32
lgbt united,back the badge,20
lgbt united,secured borders,34
lgbt united,native americans united,16
lgbt united,blackstagram,20
lgbt united,veterans come first,2
lgbt united,born liberal,34
lgbt united,being patriotic,100
lgbt united,woke blacks,50
lgbt united,trumpsters united,6
black matters us,blackluive,10
black matters us,lgbt united,34
black matters us,stop refugees,32
black matters us,melanie panther,2
black matters us,isagan,2
black matters us,hell_and_back,6
black matters us,don't shoot,44
black matters us,black edification,14
black matters us,stand for freedom,8
black matters us,defend the 2nd,10
black matters us,black baptist church,8
black matters us,melanie black,2
black matters us,panther melanie,2
black matters us,nefertiti's community,18
black matters us,the red pill,4
black matters us,black4black,24
black matters us,liberty_rising,10
black matters us,american.made,8
black matters us,fit black,2
black matters us,cop block us,16
black matters us,black matters,44
black matters us,sincerely_black,6
black matters us,brown power,40
black matters us,memopolis,36
black matters us,blacks go viral,2
black matters us,afrokingdom,6
black matters us,baltimore.blackvoice,6
black matters us,black excellence,20
black matters us,stop a.l.,40
black matters us,angry eagle,2
black matters us,watch the police,12
black matters us,musliminst,2
black matters us,southern.rebel.pride,14
black matters us,blacktivist,46
black matters us,bm,46
black matters us,heart of texas,28
black matters us,south united,10
black matters us,pan-african roots move,32
black matters us,williams&kalvin,44
black matters us,gov spending,8
black matters us,mericanfury,12
black matters us,pray4police,4
black matters us,army of jesus,28
black matters us,born black,24
black matters us,muslim voice,4
black matters us,black guns matter,24
black matters us,united muslims of america,32
black matters us,instagnan,22
black matters us,patriot's heart,2
black matters us,american.veterans,14
black matters us,back the badge,14
black matters us,secured borders,24
black matters us,native americans united,6
black matters us,rebeltexas,8
black matters us,l for life,2
black matters us,blackstagram,12
black matters us,veterans come first,8
black matters us,born liberal,18
black matters us,being patriotic,46
black matters us,woke blacks,24
black matters us,trumpsters united,6
make america great again donald j trump,angry eagle,2
make america great again donald j trump,united muslims of america,2
make america great again donald j trump,born liberal,2
make america great again donald j trump,bm,2
make america great again donald j trump,heart of texas,2
make america great again donald j trump,donald trump america,2
make america great again donald j trump,pan-african roots move,2
make america great again donald j trump,williams&kalvin,2
make america great again donald j trump,bernie sanders for president,2
make america great again donald j trump,black matters,2
make america great again donald j trump,brown power,2
make america great again donald j trump,stop a.l.,2
make america great again donald j trump,memopolis,2
make america great again donald j trump,being patriotic,2
make america great again donald j trump,nefertiti's community,2
make america great again donald j trump,blacktivist,2
stop refugees,blackluive,10
stop refugees,lgbt united,44
stop refugees,black matters us,32
stop refugees,rebeltexas,2
stop refugees,melanie panther,2
stop refugees,isagan,2
stop refugees,hell_and_back,4
stop refugees,don't shoot,48
stop refugees,black edification,10
stop refugees,stand for freedom,2
stop refugees,defend the 2nd,8
stop refugees,black baptist church,8
stop refugees,melanie black,2
stop refugees,panther melanie,2
stop refugees,nefertiti's community,20
stop refugees,the red pill,2
stop refugees,black4black,22
stop refugees,liberty_rising,4
stop refugees,american.made,6
stop refugees,cop block us,22
stop refugees,black matters,104
stop refugees,sincerely_black,6
stop refugees,brown power,60
stop refugees,memopolis,66
stop refugees,blacks go viral,2
stop refugees,afrokingdom,4
stop refugees,baltimore.blackvoice,4
stop refugees,black excellence,18
stop refugees,stop a.l.,90
stop refugees,watch the police,12
stop refugees,musliminst,2
stop refugees,southern.rebel.pride,6
stop refugees,blacktivist,78
stop refugees,bm,104
stop refugees,heart of texas,18
stop refugees,south united,2
stop refugees,pan-african roots move,34
stop refugees,williams&kalvin,104
stop refugees,gov spending,6
stop refugees,mericanfury,18
stop refugees,pray4police,6
stop refugees,army of jesus,22
stop refugees,born black,22
stop refugees,muslim voice,4
stop refugees,black guns matter,16
stop refugees,united muslims of america,26
stop refugees,instagnan,14
stop refugees,patriot's heart,2
stop refugees,american.veterans,4
stop refugees,back the badge,16
stop refugees,secured borders,28
stop refugees,l for life,2
stop refugees,blackstagram,10
stop refugees,born liberal,14
stop refugees,being patriotic,78
stop refugees,woke blacks,22
stop refugees,trumpsters united,4
melanie panther,blackluive,2
melanie panther,lgbt united,2
melanie panther,black matters us,2
melanie panther,stop refugees,2
melanie panther,hell_and_back,2
melanie panther,don't shoot,2
melanie panther,black edification,2
melanie panther,black baptist church,2
melanie panther,melanie black,2
melanie panther,panther melanie,2
melanie panther,nefertiti's community,2
melanie panther,black4black,2
melanie panther,cop block us,2
melanie panther,black matters,2
melanie panther,sincerely_black,2
melanie panther,brown power,2
melanie panther,memopolis,2
melanie panther,blacks go viral,2
melanie panther,afrokingdom,2
melanie panther,baltimore.blackvoice,2
melanie panther,black excellence,2
melanie panther,stop a.l.,2
melanie panther,watch the police,2
melanie panther,southern.rebel.pride,2
melanie panther,blacktivist,2
melanie panther,bm,2
melanie panther,heart of texas,2
melanie panther,pan-african roots move,2
melanie panther,williams&kalvin,2
melanie panther,army of jesus,2
melanie panther,born black,2
melanie panther,muslim voice,2
melanie panther,black guns matter,2
melanie panther,united muslims of america,2
melanie panther,instagnan,2
melanie panther,american.veterans,2
melanie panther,back the badge,2
melanie panther,secured borders,2
melanie panther,blackstagram,2
melanie panther,born liberal,2
melanie panther,being patriotic,2
melanie panther,woke blacks,2
isagan,blackluive,2
isagan,lgbt united,2
isagan,black matters us,2
isagan,stop refugees,2
isagan,don't shoot,2
isagan,stand for freedom,2
isagan,defend the 2nd,2
isagan,trumpsters united,2
isagan,black4black,2
isagan,american.made,2
isagan,cop block us,2
isagan,black matters,2
isagan,sincerely_black,2
isagan,brown power,2
isagan,memopolis,2
isagan,stop a.l.,2
isagan,watch the police,2
isagan,southern.rebel.pride,2
isagan,bm,2
isagan,heart of texas,2
isagan,south united,2
isagan,pan-african roots move,2
isagan,williams&kalvin,2
isagan,gov spending,2
isagan,mericanfury,2
isagan,army of jesus,2
isagan,born black,2
isagan,muslim voice,2
isagan,united muslims of america,2
isagan,instagnan,2
isagan,blacktivist,2
isagan,secured borders,2
isagan,blackstagram,2
isagan,born liberal,2
isagan,being patriotic,2
isagan,woke blacks,2
isagan,black baptist church,2
hell_and_back,blackluive,4
hell_and_back,lgbt united,8
hell_and_back,black matters us,6
hell_and_back,stop refugees,4
hell_and_back,melanie panther,2
hell_and_back,don't shoot,12
hell_and_back,black edification,6
hell_and_back,native americans united,4
